# ISO 3166-1 alpha-2 country bounding boxes, used only to disambiguate WKT axis order
# (lat lon vs lon lat) during farmer geo data import. Source: public Natural Earth derived
# data (github.com/sandstrom/country-bounding-boxes). Countries absent from this file simply
# get no disambiguation - the importer then keeps the documented "lat lon" reading.
iso2,minLat,minLon,maxLat,maxLon
TG,5.93,-0.05,11.02,1.87
TH,5.69,97.38,20.42,105.59
TJ,36.74,67.44,40.96,74.98
TL,-9.39,124.97,-8.27,127.34
TM,35.27,52.5,42.75,66.55
TN,30.31,7.52,37.35,11.49
TR,35.82,26.04,42.14,44.79
TT,10.0,-61.95,10.89,-60.9
TW,21.97,120.11,25.3,121.95
TZ,-11.72,29.34,-0.95,40.32
UA,44.36,22.09,52.34,40.08
UG,-1.44,29.58,4.25,35.04
US,25.0,-125.0,49.5,-66.96
UY,-34.95,-58.43,-30.11,-53.21
UZ,37.14,55.93,45.59,73.06
VE,0.72,-73.3,12.16,-59.76
VN,8.6,102.17,23.35,109.34
VU,-16.6,166.63,-14.63,167.84
YE,12.59,42.6,19.0,53.11
ZA,-34.82,16.34,-22.09,32.83
ZM,-17.96,21.89,-8.24,33.49
ZW,-22.27,25.26,-15.51,32.85
